variable,lambda,kappa
model,0.7039413659836108,0.3607704964139513
model,0.6723411964924113,0.2911207167474455
model,0.627982557965572,0.30250868715644724
model,0.8476285991373965,0.4063791882719202
model,0.9999338930386481,0.5217388742259008
model,0.44884098255272403,0.20014331667140758
model,0.3460381405933426,0.24857537153988
model,0.4803249575818386,0.25895669172679137
model,0.9171500089066967,0.4865035864394792
model,0.4911576474166318,0.29580494972116395
model,0.5989272201730022,0.27661508054406864
model,0.7313507576715038,0.32657408243782415
model,0.7737213020722981,0.4116921466185533
model,0.8502966359367449,0.46848839856846497
model,0.8340760544190704,0.37263105633893606
model,0.9023391281273422,0.4714915809143753
model,0.3725170445588708,0.2209652060593313
model,0.8525572302080873,0.4101357168078198
model,0.3843153433031773,0.20125776176671176
model,0.7902060004225782,0.3371539726352687
model,0.8009114558735992,0.244137584197484
model,0.1536070654737335,0.20336007158312913
model,0.7780970842027857,0.3949952000957895
model,0.5923077167318513,0.25790976975448343
model,0.620947990718008,0.30946617069869925
model,0.7534948525807248,0.30907406886239713
model,0.8644946166897929,0.40046263416428335
model,0.5656327833610327,0.30473698581001724
model,0.8121502954421344,0.31638810991274957
model,0.8264969250654692,0.43961992895430546
model,0.6459097210262756,0.2935219306704868
model,0.9346232748417507,0.36607404150001216
model,0.9291742118049333,0.38974242981286916
model,0.8493433538063838,0.41151379685225153
model,0.8225018916875713,0.3490924213490595
model,0.6135969175470051,0.2469567799947337
model,0.8851174998651999,0.41157328540312144
model,0.7572578586018401,0.40491237215410436
model,0.6837668171957788,0.263521072114134
model,0.6343145310960028,0.32859725484731817
model,0.840340882665466,0.3922219975460934
model,0.6699954228237053,0.3280499677203248
model,0.7918156707402028,0.413060063536033
model,0.6226612648131342,0.3275191823144965
model,0.7383286227292932,0.3625598253120756
model,0.6415483925458818,0.22074313770597703
model,0.7355507536799294,0.3052421281127692
model,0.9577424944479803,0.45644478090033364
model,0.7124679487813694,0.2914554283183025
model,0.6614869115114219,0.22364015548244615
model,0.8470470128388792,0.3736503456135904
model,0.6575070555589205,0.3325962967367203
model,0.6636920333070838,0.35649719114660194
model,0.840840210410429,0.4578663802845143
model,0.8997711709335949,0.4038524248737319
model,0.765478565506281,0.3285353488487717
model,0.8618576158800202,0.45761294304061495
model,0.8370478074987119,0.25194480571215444
model,0.6096691855723277,0.2808586687032083
model,0.8665030858506557,0.41273984932065677
model,0.6755660702101003,0.23379493656590175
model,0.5200029100600785,0.2909278877810678
model,0.7734184966224243,0.3890247855751547
